time;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked;
11:00:00;0;549;1.00;1.07;1.47;0;
11:01:00;0;567;1.34;1.13;1.47;1;
11:02:00;1;567;1.37;1.17;1.46;0;
11:03:00;1;569;2.19;1.42;1.52;1;
11:04:00;0;569;2.16;1.54;1.56;0;
11:05:00;0;567;1.71;1.53;1.55;0;
11:06:00;4;564;1.62;1.54;1.55;0;
11:07:00;17;591;15.55;5.24;2.80;0;
11:08:00;15;591;25.72;10.08;4.62;0;
11:09:00;21;591;30.24;14.26;6.40;0;
11:10:00;60;957;72.01;27.76;11.45;0;
11:11:00;165;958;171.13;66.03;25.72;0;
11:12:00;105;957;158.35;82.25;33.87;0;
11:13:00;0;957;107.29;85.32;38.20;0;
