time;tps;rtps;wtps;bread/s;bwrtn/s;
10:59:00;1.59;0.00;1.59;0.00;19.56;
11:00:00;54.90;52.67;2.23;1986.14;28.51;
11:01:00;53.66;51.58;2.08;1953.29;21.21;
11:02:00;44.47;43.38;1.09;1705.15;15.06;
11:03:00;42.90;40.75;2.15;1605.91;22.43;
11:04:00;29.08;27.24;1.84;1064.02;21.73;
11:05:00;8.96;7.26;1.70;284.54;22.09;
11:06:00;8.17;6.61;1.55;272.93;14.94;
11:07:00;3.53;1.52;2.02;55.99;26.53;
11:08:00;2.73;0.93;1.80;35.73;20.53;
11:09:00;2.15;0.03;2.12;1.07;22.80;
11:10:00;5.57;3.83;1.73;162.11;19.60;
11:11:00;1.00;0.00;1.00;0.00;14.40;
11:12:00;1.60;0.00;1.60;0.00;18.13;
11:13:00;2.78;0.00;2.78;0.00;29.86;
