time;all;%user;%nice;%system;%iowait;%steal;%idle
11:00:00;all;6.00;0.00;3.55;18.00;0.00;72.45;
11:01:00;all;7.53;0.00;4.16;21.22;0.00;67.08;
11:02:00;all;7.69;0.00;3.75;15.70;0.00;72.85;
11:03:00;all;11.82;0.00;3.71;14.09;0.00;70.38;
11:04:00;all;27.90;0.02;4.26;6.18;0.00;61.65;
11:05:00;all;31.04;0.00;3.99;3.10;0.00;61.87;
11:06:00;all;45.57;0.00;4.86;1.82;0.00;47.75;
11:07:00;all;93.70;0.00;6.30;0.00;0.00;0.00;
11:08:00;all;93.95;0.00;6.05;0.00;0.00;0.00;
11:09:00;all;92.22;0.00;6.48;0.00;0.00;1.30;
11:10:00;all;89.80;0.00;10.20;0.00;0.00;0.00;
11:11:00;all;89.88;0.00;10.12;0.00;0.00;0.00;
11:12:00;all;89.78;0.00;10.22;0.00;0.00;0.00;
11:13:00;all;17.19;0.00;3.35;0.05;0.00;79.41;
