Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Svn.Su DayBook:Admin,4000,172,144,305,320,360,135,733,"0,000%","7,15011","27,33","14,77"
TG: Svn.Su DayBook:Auth form,4000,55,51,54,58,220,46,658,"0,000%","7,15638","22,38","4,80"
TG: Svn.Su DayBook:Login 1,4000,265,239,401,409,455,225,737,"0,000%","7,15400","14,83","26,85"
TG: Svn.Su DayBook:Admin Welcome 1,4000,104,108,128,152,288,59,724,"0,000%","7,15571","169,88","5,12"
TG: Svn.Su DayBook:Admin welcome 2,4000,59,50,54,119,223,46,641,"0,000%","7,15683","3,71","8,04"
TG: Svn.Su DayBook:Admin by day 1,4000,58,54,58,62,224,48,624,"0,000%","7,15692","23,78","5,17"
TG: Svn.Su DayBook:Admin by day 2,4000,60,56,62,65,226,48,387,"0,000%","7,15689","11,16","8,13"
TG: Svn.Su DayBook:Admin by day 3,4000,222,207,360,390,438,151,1453,"0,000%","7,15368","168,51","17,48"
TG: Svn.Su DayBook:Welcome 2,4000,100,80,128,219,295,59,482,"0,000%","7,15389","162,05","4,81"
TOTAL,36000,122,75,240,285,411,46,1453,"0,000%","64,22837","602,12","94,95"
