Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Svn.Su DayBook:Admin,4000,172,135,733,"62,74","0,000%","7,15011","27,33","14,77","3914,7"
TG: Svn.Su DayBook:Auth form,4000,55,46,658,"29,97","0,000%","7,15638","22,38","4,80","3201,6"
TG: Svn.Su DayBook:Login 1,4000,265,225,737,"61,88","0,000%","7,15400","14,83","26,85","2122,5"
TG: Svn.Su DayBook:Admin Welcome 1,4000,104,59,724,"42,84","0,000%","7,15571","169,88","5,12","24310,3"
TG: Svn.Su DayBook:Admin welcome 2,4000,59,46,641,"39,16","0,000%","7,15683","3,71","8,04","531,4"
TG: Svn.Su DayBook:Admin by day 1,4000,58,48,624,"29,49","0,000%","7,15692","23,78","5,17","3402,5"
TG: Svn.Su DayBook:Admin by day 2,4000,60,48,387,"27,51","0,000%","7,15689","11,16","8,13","1597,2"
TG: Svn.Su DayBook:Admin by day 3,4000,222,151,1453,"73,85","0,000%","7,15368","168,51","17,48","24121,3"
TG: Svn.Su DayBook:Welcome 2,4000,100,59,482,"50,31","0,000%","7,15389","162,05","4,81","23196,0"
TOTAL,36000,122,46,1453,"89,25","0,000%","64,22837","602,12","94,95","9599,7"
