Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Яндекс картинки котики:Яндекс вход,11520,472,237,2934,"159,62","0,000%","11,96775","1752,00","9,33","149907,1"
TG: Яндекс картинки котики:Яндекс картинки,11520,894,469,2724,"162,79","0,000%","11,96186","697,16","9,80","59680,4"
TG: Яндекс картинки котики:Яндекс картинки котики,11520,699,429,69723,"661,94","0,000%","11,96217","974,53","12,50","83422,8"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,11520,78,8,1298,"82,77","0,000%","11,96745","19,52","15,49","1670,0"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,11520,41,8,717,"31,89","0,000%","11,96743","1,93","23,16","165,0"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,11520,250,24,1868,"143,40","0,000%","11,96709","2684,99","6,77","229749,0"
TOTAL,69120,406,8,69723,"430,48","0,000%","71,69121","6121,22","76,94","87432,4"
