Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Яндекс картинки котики:Яндекс вход,11520,472,435,633,743,1105,237,2934,"0,000%","11,96775","1752,00","9,33"
TG: Яндекс картинки котики:Яндекс картинки,11520,894,883,1093,1161,1355,469,2724,"0,000%","11,96186","697,16","9,80"
TG: Яндекс картинки котики:Яндекс картинки котики,11520,699,682,849,918,1257,429,69723,"0,000%","11,96217","974,53","12,50"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,11520,78,48,197,239,333,8,1298,"0,000%","11,96745","19,52","15,49"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,11520,41,37,69,82,164,8,717,"0,000%","11,96743","1,93","23,16"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,11520,250,239,394,454,741,24,1868,"0,000%","11,96709","2684,99","6,77"
TOTAL,69120,406,359,883,992,1189,8,69723,"0,000%","71,69121","6121,22","76,94"
