Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Яндекс картинки котики:Яндекс вход,40,340,283,448,"44,44","0,000%","1,10583","161,98","0,85","149995,1"
TG: Яндекс картинки котики:Яндекс картинки,40,825,525,1103,"144,05","0,000%","1,09421","63,07","0,90","59022,7"
TG: Яндекс картинки котики:Яндекс картинки котики,40,550,459,655,"44,55","0,000%","1,10330","90,76","1,15","84237,4"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,40,20,10,71,"18,29","0,000%","1,11926","1,83","1,45","1670,0"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,40,10,9,12,"0,90","0,000%","1,11923","0,18","2,17","165,0"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,40,59,26,269,"43,54","0,000%","1,11676","250,56","0,63","229749,0"
TOTAL,240,301,9,1103,"312,70","0,000%","6,37298","544,40","6,83","87473,2"
