Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Яндекс картинки котики:Яндекс вход,40,340,328,408,409,448,283,448,"0,000%","1,10583","161,98","0,85"
TG: Яндекс картинки котики:Яндекс картинки,40,825,813,1034,1062,1103,525,1103,"0,000%","1,09421","63,07","0,90"
TG: Яндекс картинки котики:Яндекс картинки котики,40,550,550,602,617,655,459,655,"0,000%","1,10330","90,76","1,15"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,40,20,11,56,58,71,10,71,"0,000%","1,11926","1,83","1,45"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,40,10,11,12,12,12,9,12,"0,000%","1,11923","0,18","2,17"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,40,59,46,92,139,269,26,269,"0,000%","1,11676","250,56","0,63"
TOTAL,240,301,269,761,912,1062,9,1103,"0,000%","6,37298","544,40","6,83"
