Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Svn.Su DayBook:Admin,32000,312,279,481,527,615,137,952,"0,000%","30,67761","117,28","63,39"
TG: Svn.Su DayBook:Auth form,32000,106,86,180,264,358,46,702,"0,000%","30,68947","95,95","20,59"
TG: Svn.Su DayBook:Login 1,32000,473,445,656,711,817,231,1584,"0,000%","30,67920","63,59","115,16"
TG: Svn.Su DayBook:Admin Welcome 1,32000,211,197,296,349,454,104,1025,"0,000%","30,68217","728,41","21,96"
TG: Svn.Su DayBook:Admin welcome 2,32000,116,90,240,296,372,46,650,"0,000%","30,68423","15,92","34,45"
TG: Svn.Su DayBook:Admin by day 1,32000,111,94,180,247,358,48,624,"0,000%","30,68411","101,95","22,17"
TG: Svn.Su DayBook:Admin by day 2,32000,118,101,188,252,362,50,666,"0,000%","30,68449","47,86","34,87"
TG: Svn.Su DayBook:Admin by day 3,32000,387,367,523,581,692,198,1527,"0,000%","30,67873","722,64","75,02"
TG: Svn.Su DayBook:Welcome 2,32000,223,202,341,400,491,106,954,"0,000%","30,68505","695,11","20,65"
TOTAL,288000,228,187,447,525,680,46,1584,"0,000%","275,79655","2585,52","407,78"
