Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Яндекс картинки котики:Яндекс вход,2880,341,242,734,"55,06","0,000%","4,20874","613,38","3,28","149238,5"
TG: Яндекс картинки котики:Яндекс картинки,2880,828,459,1458,"132,76","0,035%","4,20614","244,04","3,45","59412,4"
TG: Яндекс картинки котики:Яндекс картинки котики,2880,532,427,1069,"48,91","0,000%","4,20760","342,35","4,40","83318,0"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,2880,26,8,277,"22,83","0,000%","4,21059","6,87","5,45","1670,0"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,2880,13,8,238,"6,53","0,000%","4,21064","0,68","8,15","165,0"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,2880,46,24,309,"26,63","0,000%","4,21057","944,70","2,38","229749,0"
TOTAL,17280,298,8,1458,"311,01","0,006%","25,19398","2146,87","27,04","87258,8"
