Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Яндекс картинки котики:Яндекс вход,2880,341,331,407,429,514,242,734,"0,000%","4,20874","613,38","3,28"
TG: Яндекс картинки котики:Яндекс картинки,2880,828,823,1005,1044,1134,459,1458,"0,035%","4,20614","244,04","3,45"
TG: Яндекс картинки котики:Яндекс картинки котики,2880,532,524,594,613,664,427,1069,"0,000%","4,20760","342,35","4,40"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,2880,26,14,67,71,78,8,277,"0,000%","4,21059","6,87","5,45"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,2880,13,13,16,17,30,8,238,"0,000%","4,21064","0,68","8,15"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,2880,46,43,66,77,140,24,309,"0,000%","4,21057","944,70","2,38"
TOTAL,17280,298,253,788,903,1034,8,1458,"0,006%","25,19398","2146,87","27,04"
