Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Яндекс картинки котики:Яндекс вход,640,363,342,438,484,698,247,976,"0,000%","4,09160","599,33","3,18"
TG: Яндекс картинки котики:Яндекс картинки,640,845,841,1011,1063,1173,506,1388,"0,000%","4,08234","238,97","3,34"
TG: Яндекс картинки котики:Яндекс картинки котики,640,562,557,633,662,751,441,1233,"0,000%","4,08492","332,13","4,27"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,640,29,15,70,75,86,8,94,"0,000%","4,09710","6,68","5,30"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,640,14,14,17,18,69,8,75,"0,000%","4,09723","0,66","7,93"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,640,55,46,84,127,227,25,590,"0,000%","4,09660","919,13","2,32"
TOTAL,3840,311,264,812,920,1052,8,1388,"0,000%","24,30826","2076,24","26,08"
