Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Яндекс картинки котики:Яндекс вход,640,363,247,976,"82,18","0,000%","4,09160","599,33","3,18","149993,7"
TG: Яндекс картинки котики:Яндекс картинки,640,845,506,1388,"133,06","0,000%","4,08234","238,97","3,34","59943,5"
TG: Яндекс картинки котики:Яндекс картинки котики,640,562,441,1233,"63,98","0,000%","4,08492","332,13","4,27","83256,9"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,640,29,8,94,"24,53","0,000%","4,09710","6,68","5,30","1670,0"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,640,14,8,75,"6,98","0,000%","4,09723","0,66","7,93","165,0"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,640,55,25,590,"43,68","0,000%","4,09660","919,13","2,32","229749,0"
TOTAL,3840,311,8,1388,"320,17","0,000%","24,30826","2076,24","26,08","87463,0"
