Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Яндекс картинки котики:Яндекс вход,2560,368,244,1776,"84,98","0,000%","7,94074","1163,79","6,19","150077,1"
TG: Яндекс картинки котики:Яндекс картинки,2560,840,523,1862,"141,02","0,000%","7,93272","460,80","6,50","59482,2"
TG: Яндекс картинки котики:Яндекс картинки котики,2560,546,428,1246,"68,58","0,000%","7,93961","649,58","8,30","83778,1"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,2560,39,8,549,"54,61","0,000%","7,95318","12,97","10,29","1670,0"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,2560,18,7,349,"19,77","0,000%","7,95313","1,28","15,39","165,0"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,2560,67,24,749,"77,30","0,000%","7,95290","1784,35","4,50","229749,0"
TOTAL,15360,313,7,1862,"315,89","0,000%","47,44841","4053,82","50,91","87486,9"
