Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Яндекс картинки котики:Яндекс вход,2560,368,352,442,492,645,244,1776,"0,000%","7,94074","1163,79","6,19"
TG: Яндекс картинки котики:Яндекс картинки,2560,840,829,1016,1071,1203,523,1862,"0,000%","7,93272","460,80","6,50"
TG: Яндекс картинки котики:Яндекс картинки котики,2560,546,532,615,647,791,428,1246,"0,000%","7,93961","649,58","8,30"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,2560,39,16,80,98,331,8,549,"0,000%","7,95318","12,97","10,29"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,2560,18,15,24,37,114,7,349,"0,000%","7,95313","1,28","15,39"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,2560,67,49,101,155,526,24,749,"0,000%","7,95290","1784,35","4,50"
TOTAL,15360,313,283,798,915,1059,7,1862,"0,000%","47,44841","4053,82","50,91"
