Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Яндекс картинки котики:Яндекс вход,5760,346,335,413,439,542,208,1025,"0,000%","8,25372","1166,78","6,44"
TG: Яндекс картинки котики:Яндекс картинки,5760,844,838,1021,1069,1142,497,1605,"0,000%","8,24932","478,69","6,76"
TG: Яндекс картинки котики:Яндекс картинки котики,5760,543,543,611,635,701,424,1117,"0,000%","8,25072","673,88","8,62"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,5760,28,14,69,76,99,8,1077,"0,000%","8,25627","13,46","10,68"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,5760,13,13,19,25,42,8,235,"0,000%","8,25634","1,33","15,98"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,5760,48,43,74,90,163,24,1132,"0,000%","8,25625","1852,41","4,67"
TOTAL,34560,304,249,803,920,1058,8,1605,"0,000%","49,42290","4178,08","53,04"
