Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Яндекс картинки котики:Яндекс вход,5760,346,208,1025,"61,13","0,000%","8,25372","1166,78","6,44","144756,8"
TG: Яндекс картинки котики:Яндекс картинки,5760,844,497,1605,"133,62","0,000%","8,24932","478,69","6,76","59420,6"
TG: Яндекс картинки котики:Яндекс картинки котики,5760,543,424,1117,"57,63","0,000%","8,25072","673,88","8,62","83635,6"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,5760,28,8,1077,"35,12","0,000%","8,25627","13,46","10,68","1670,0"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,5760,13,8,235,"7,71","0,000%","8,25634","1,33","15,98","165,0"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,5760,48,24,1132,"34,30","0,000%","8,25625","1852,41","4,67","229749,0"
TOTAL,34560,304,8,1605,"317,33","0,000%","49,42290","4178,08","53,04","86566,2"
