Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Яндекс вход,10,399,400,443,443,477,287,477,"0,000%",",53674","79,13","0,41"
Яндекс картинки,10,900,887,1018,1018,1079,729,1079,"0,000%",",52543","28,51","0,43"
Яндекс картинки котики,10,608,577,658,658,748,547,748,"0,000%",",53859","43,34","0,56"
Яндекс картинки котики перенаправление 1,10,31,17,62,62,75,14,75,"0,000%",",55791","0,91","0,72"
Яндекс картинки котики перенаправление 2,10,15,15,17,17,19,13,19,"0,000%",",55932","0,09","1,08"
Оригинальная картинка с котиком,10,45,40,67,67,74,28,74,"0,000%",",55847","125,30","0,32"
TOTAL,60,333,75,826,944,1018,13,1079,"0,000%","2,97649","252,16","3,18"
