Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Яндекс вход,10,399,287,477,"49,70","0,000%",",53674","79,13","0,41","150957,8"
Яндекс картинки,10,900,729,1079,"106,59","0,000%",",52543","28,51","0,43","55567,1"
Яндекс картинки котики,10,608,547,748,"60,34","0,000%",",53859","43,34","0,56","82404,8"
Яндекс картинки котики перенаправление 1,10,31,14,75,"23,13","0,000%",",55791","0,91","0,72","1670,0"
Яндекс картинки котики перенаправление 2,10,15,13,19,"1,73","0,000%",",55932","0,09","1,08","165,0"
Оригинальная картинка с котиком,10,45,28,74,"15,25","0,000%",",55847","125,30","0,32","229749,0"
TOTAL,60,333,13,1079,"340,34","0,000%","2,97649","252,16","3,18","86752,3"
