Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Svn.Su DayBook:Admin,16000,176,150,303,325,370,135,752,"0,000%","25,13538","96,09","51,94"
TG: Svn.Su DayBook:Auth form,16000,59,51,67,85,228,45,500,"0,000%","25,14996","78,63","16,87"
TG: Svn.Su DayBook:Login 1,16000,283,253,411,435,489,227,1476,"0,000%","25,14272","52,11","94,38"
TG: Svn.Su DayBook:Admin Welcome 1,16000,134,125,161,183,301,103,626,"0,000%","25,14810","597,03","18,00"
TG: Svn.Su DayBook:Admin welcome 2,16000,66,51,76,214,239,46,1487,"0,000%","25,15189","13,05","28,24"
TG: Svn.Su DayBook:Admin by day 1,16000,62,55,72,89,229,47,508,"0,000%","25,15174","83,57","18,18"
TG: Svn.Su DayBook:Admin by day 2,16000,66,58,78,97,234,49,857,"0,000%","25,15150","39,23","28,58"
TG: Svn.Su DayBook:Admin by day 3,16000,259,239,373,413,464,196,1480,"0,000%","25,14411","592,28","61,48"
TG: Svn.Su DayBook:Welcome 2,16000,141,125,175,283,322,103,640,"0,000%","25,15019","569,73","16,92"
TOTAL,144000,139,120,264,306,431,45,1487,"0,000%","225,88271","2117,60","333,97"
