Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Svn.Su DayBook:Admin,16000,176,135,752,"60,15","0,000%","25,13538","96,09","51,94","3914,8"
TG: Svn.Su DayBook:Auth form,16000,59,45,500,"32,96","0,000%","25,14996","78,63","16,87","3201,6"
TG: Svn.Su DayBook:Login 1,16000,283,227,1476,"68,91","0,000%","25,14272","52,11","94,38","2122,5"
TG: Svn.Su DayBook:Admin Welcome 1,16000,134,103,626,"34,88","0,000%","25,14810","597,03","18,00","24310,2"
TG: Svn.Su DayBook:Admin welcome 2,16000,66,46,1487,"47,44","0,000%","25,15189","13,05","28,24","531,4"
TG: Svn.Su DayBook:Admin by day 1,16000,62,47,508,"30,58","0,000%","25,15174","83,57","18,18","3402,5"
TG: Svn.Su DayBook:Admin by day 2,16000,66,49,857,"33,47","0,000%","25,15150","39,23","28,58","1597,2"
TG: Svn.Su DayBook:Admin by day 3,16000,259,196,1480,"64,20","0,000%","25,14411","592,28","61,48","24120,7"
TG: Svn.Su DayBook:Welcome 2,16000,141,103,640,"48,64","0,000%","25,15019","569,73","16,92","23196,9"
TOTAL,144000,139,45,1487,"94,79","0,000%","225,88271","2117,60","333,97","9599,8"
