Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Яндекс картинки котики:Яндекс вход,160,341,332,400,414,445,254,469,"0,000%","2,09977","308,06","1,63"
TG: Яндекс картинки котики:Яндекс картинки,160,848,814,1047,1071,1153,579,1619,"0,000%","2,09331","120,53","1,72"
TG: Яндекс картинки котики:Яндекс картинки котики,160,550,551,603,635,673,463,781,"0,000%","2,09935","171,59","2,19"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,160,25,15,67,72,79,9,83,"0,000%","2,11338","3,45","2,73"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,160,13,14,16,17,25,9,56,"0,000%","2,11341","0,34","4,09"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,160,56,42,81,107,589,25,598,"0,000%","2,11229","473,92","1,19"
TOTAL,960,306,267,786,907,1050,9,1619,"0,000%","12,36301","1055,35","13,26"
