Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Яндекс картинки котики:Яндекс вход,160,341,254,469,"45,61","0,000%","2,09977","308,06","1,63","150233,7"
TG: Яндекс картинки котики:Яндекс картинки,160,848,579,1619,"144,25","0,000%","2,09331","120,53","1,72","58961,3"
TG: Яндекс картинки котики:Яндекс картинки котики,160,550,463,781,"49,10","0,000%","2,09935","171,59","2,19","83695,9"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 1,160,25,9,83,"22,04","0,000%","2,11338","3,45","2,73","1670,0"
TG: Яндекс картинки котики:Яндекс картинки котики перенаправление 2,160,13,9,56,"4,40","0,000%","2,11341","0,34","4,09","165,0"
TG: Яндекс картинки котики:Оригинальная картинка с котиком,160,56,25,598,"78,89","0,000%","2,11229","473,92","1,19","229749,0"
TOTAL,960,306,9,1619,"319,80","0,000%","12,36301","1055,35","13,26","87412,5"
